direction,modern_section,modern_title,legacy_section,legacy_title,score,reason
companies_1956_to_2013,100,"Calling of extraordinary general meeting.—(1) The Board may, whenever it deems fit, call an",169,CALLING OF EXTRAORDINARY GENERAL MEETING ON REQUISITION,5.333,"shared_keywords=['calling', 'extraordinary', 'general', 'meeting']; title_jaccard=0.44"
companies_2013_to_1956,211,"Establishment of Serious Fraud Investigation Office. —(1) The Central Government shall, by",8,POWER OF CENTRAL GOVERNMENT TO DECLARE AN ESTABLISHMENT NOT TO BE A BRANCH OFFICE,5.333,"shared_keywords=['central', 'establishment', 'government', 'office']; title_jaccard=0.44"
companies_1956_to_2013,211,"Establishment of Serious Fraud Investigation Office. —(1) The Central Government shall, by",8,POWER OF CENTRAL GOVERNMENT TO DECLARE AN ESTABLISHMENT NOT TO BE A BRANCH OFFICE,5.333,"shared_keywords=['central', 'establishment', 'government', 'office']; title_jaccard=0.44"
companies_2013_to_1956,464,Prohibition of associati on or partnership of persons exceeding certain number. —(1) No,11,PROHIBITION OF ASSOCIATIONS AND PARTNERSHIPS EXCEEDING CERTAIN NUMBER,5.333,"shared_keywords=['certain', 'exceeding', 'number', 'prohibition']; title_jaccard=0.44"
companies_1956_to_2013,464,Prohibition of associati on or partnership of persons exceeding certain number. —(1) No,11,PROHIBITION OF ASSOCIATIONS AND PARTNERSHIPS EXCEEDING CERTAIN NUMBER,5.333,"shared_keywords=['certain', 'exceeding', 'number', 'prohibition']; title_jaccard=0.44"
companies_2013_to_1956,187,Investments of company to be held in its own name. —(1) All investments made or held by a,49,INVESTMENTS OF COMPANY TO BE HELD IN ITS OWN NAME,5.250,"shared_keywords=['held', 'investments', 'name']; title_jaccard=0.75"
companies_1956_to_2013,187,Investments of company to be held in its own name. —(1) All investments made or held by a,49,INVESTMENTS OF COMPANY TO BE HELD IN ITS OWN NAME,5.250,"shared_keywords=['held', 'investments', 'name']; title_jaccard=0.75"
companies_2013_to_1956,25,Document containing offer of securities for sale to be d eemed prospectus. —(1) Where a,64,DOCUMENT CONTAINING OFFER OF SHARES OR DEBENTURES FOR SALE TO BE DEEMED,5.200,"shared_keywords=['containing', 'document', 'offer', 'sale']; title_jaccard=0.40"
companies_1956_to_2013,25,Document containing offer of securities for sale to be d eemed prospectus. —(1) Where a,64,DOCUMENT CONTAINING OFFER OF SHARES OR DEBENTURES FOR SALE TO BE DEEMED,5.200,"shared_keywords=['containing', 'document', 'offer', 'sale']; title_jaccard=0.40"
companies_2013_to_1956,64,Notice to be given to Registrar for alteration of share capital.—(1) Where,95,"NOTICE TO REGISTRAR OF CONSOLIDATION OF SHARE CAPITAL, CONVERSION OF SHARES INTO",5.200,"shared_keywords=['capital', 'notice', 'registrar', 'share']; title_jaccard=0.40"
companies_1956_to_2013,64,Notice to be given to Registrar for alteration of share capital.—(1) Where,95,"NOTICE TO REGISTRAR OF CONSOLIDATION OF SHARE CAPITAL, CONVERSION OF SHARES INTO",5.200,"shared_keywords=['capital', 'notice', 'registrar', 'share']; title_jaccard=0.40"
companies_2013_to_1956,29,Public offer of securities to be in dematerialised form.—(1) Notwithstanding anything contained,68B,INITIAL OFFER OF SECURITIES TO BE IN DEMATERIALISED FORM IN CERTAIN CASES,5.091,"shared_keywords=['dematerialised', 'form', 'offer', 'securities']; title_jaccard=0.36"
